experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images depict people walking dogs outdoors, while the cat_1 images show people interacting with dogs in close proximity, such as holding, petting, or bathing them. The test image shows a dog outdoors but not being walked by a person.\nRule: The presence of a person walking a dog outdoors.\nTest Image: A dog outdoors wearing a bandana.\nConclusion: cat_1']
70 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images show individuals holding surfboards, either on the beach or near the water, while the cat_1 images depict people actively surfing on waves or engaging in activities unrelated to holding a surfboard.\nRule: Individuals are holding surfboards.\nTest Image: A man on the beach holding a surfboard.\nConclusion: cat_2']
71 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all depict individuals holding or carrying surfboards, while the cat_1 images show people actively surfing on waves or engaging in activities not directly related to carrying a surfboard. The test image shows a person engaged in kite surfing, which does not involve carrying a surfboard.\nRule: Individuals are holding or carrying a surfboard.\nTest Image: A person kite surfing on the water.\nConclusion: cat_1']
72 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all show individuals biting into an apple, while the cat_1 images either show people not biting into an apple or apples not being interacted with in the same manner.\nRule: Individuals are actively biting into an apple.\nTest Image: A person is holding an apple close to their mouth, appearing to bite into it.\nConclusion: cat_2']
73 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all show individuals actively biting or eating an apple, while the cat_1 images either show people not eating an apple or apples not being eaten at all. The test image shows a woman holding an apple but not eating it.\nRule: Individuals are actively biting or eating an apple.\nTest Image: A woman holding a baby and an apple, not eating it.\nConclusion: cat_1']
74 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all depict people actively biting or eating an apple, while the cat_1 images show apples being held, cut, or prepared but not being eaten.\nRule: The presence of a person actively biting or eating an apple.\nTest Image: A man is biting an apple with an apple on his head.\nConclusion: cat_2']
75 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all depict people actively eating apples, while the cat_1 images show apples being held, cut, or prepared but not being eaten.\nRule: The presence of a person eating an apple.\nTest Image: A person reaching for an apple on a tree.\nConclusion: cat_1']
76 | expected:'cat_2' | got='cat_2' | full: [" Analysis: The cat_2 images all depict individuals on a beach or near the shore, either carrying or preparing to use a surfboard. The cat_1 images show individuals actively surfing on waves or in water, with no beach or shore in the immediate vicinity. The test image shows a close-up of a hand on a surfboard with the ocean in the background, but no indication of the person's activity or location relative to the shore.\nRule: Individuals are on a beach or near the shore, not actively surfing on waves.\nTest Image: Close-up of a hand on a surfboard with the ocean in the background.\nConclusion: cat_2"]
77 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all depict individuals on a beach or near the shore, either carrying or preparing to use a surfboard. The cat_1 images show individuals actively surfing on waves or in water, with no beach or shore in the immediate vicinity. The test image shows a person engaged in kite surfing, actively airborne over the water, with no beach or shore visible.\nRule: Individuals are on a beach or near the shore with surfboards, not actively surfing on waves.\nTest Image: A person kite surfing, airborne over water, with no beach or shore visible.\nConclusion: cat_1']
78 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all depict a single person lying down on a bench, while the cat_1 images either show people sitting on a bench or not interacting with a bench in a lying down position. The test image shows a person lying down on a bench.\nRule: The image must show a single person lying down on a bench.\nTest Image: A person is lying down on a bench.\nConclusion: cat_2']
79 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images all depict a single person lying down on a bench, while the cat_1 images either show people sitting on benches, standing, or not interacting with benches in a lying down position. The test image shows a person sitting on a bench, not lying down.\nRule: The person must be lying down on a bench.\nTest Image: A person is sitting on a bench, reading a newspaper.\nConclusion: cat_1']
80 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images all depict individuals carrying surfboards on the beach, while the cat_1 images show people either surfing in the water or in a non-beach setting with a surfboard. The test image shows a person carrying a surfboard on a rocky beach area.\nRule: Individuals are carrying surfboards on the beach.\nTest Image: A person in a wetsuit carrying a surfboard on a rocky beach.\nConclusion: cat_2']
81 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images show individuals carrying surfboards on the beach or near the water, while the cat_1 images depict people actively surfing on waves or in a setting unrelated to carrying a surfboard.\nRule: Individuals are carrying surfboards on the beach or near the water.\nTest Image: A person actively surfing on a wave.\nConclusion: cat_1']
82 | expected:'cat_2' | got='cat_1' | full: [' Analysis: The cat_2 images depict multiple people interacting in a group setting, such as offices, classrooms, dining areas, or social gatherings. The cat_1 images show individuals alone or in a setting where they are not interacting with others in a group. The test image shows a single child eating at a table, with no interaction with others in a group setting.\nRule: The presence of multiple people interacting in a group setting.\nTest Image: A single child eating at a table.\nConclusion: cat_1']
83 | expected:'cat_1' | got='cat_1' | full: [' Analysis: The cat_2 images depict multiple people interacting in a shared space, such as offices, classrooms, or dining areas. The cat_1 images show individuals alone or in a setting where interaction is not the focus. The test image shows a single person relaxing on a rooftop, not engaging in interaction with others.\nRule: The presence of multiple people interacting in a shared space.\nTest Image: A single person relaxing on a rooftop.\nConclusion: cat_1']
84 | expected:'cat_2' | got='cat_2' | full: [' Analysis: The cat_2 images depict individuals actively surfing on waves, while the cat_1 images show people with surfboards but not actively surfing. The test image shows a person actively surfing on a wave.\nRule: The individuals are actively surfing on waves.\nTest Image: A person is actively surfing on a wave.\nConclusion: cat_2']
85 | expected:'cat_1' | got='cat_1' | full: [" Analysis: The cat_2 images depict individuals actively surfing on waves, while the cat_1 images show people with surfboards but not actively surfing. The test image shows a shop with surfboards and a person's feet, with no surfing activity.\nRule: Individuals are actively surfing on waves.\nTest Image: A shop with surfboards and a person's feet, no surfing activity.\nConclusion: cat_1"]
