experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: interleaved

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ["Analysis: The images in cat_2 show people walking dogs on leashes, typically in an outdoor street setting. The dogs are generally at arm's length or further away from the person. The images in cat_1 show people holding or closely interacting with dogs, often in a more intimate or caring manner (e.g., cuddling, bathing).\nRule: Cat_2 images depict people walking dogs on leashes at a distance, while cat_1 images depict people closely holding or interacting with dogs.\nTest Image: The test image shows a dog sitting and looking at the camera, with a person partially visible in the background. The dog is not on a leash and is not being walked.\nConclusion: cat_1"]'
76 | expected:'cat_2' | got='cat_1 | full: ["Analysis: The images in cat_2 show people walking on the beach *with* a surfboard, typically carrying it. The images in cat_1 show people *riding* a surfboard on the water.\nRule: Cat_2 images depict people carrying surfboards on land, while cat_1 images depict people riding surfboards in the water.\nTest Image: The test image shows a close-up of a person's foot on a surfboard while riding a wave.\nConclusion: cat_1"]'
77 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 show people walking on a beach *with* a surfboard, typically carrying it. The images in cat_1 show people actively riding a wave *on* a surfboard.\nRule: Cat_2 images depict people walking with a surfboard on land, while cat_1 images depict people riding a surfboard on water.\nTest Image: The test image shows a person performing a trick on a board while being pulled by a kite, over water.\nConclusion: cat_1']'
78 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 depict individuals lying down on benches, often appearing to be sleeping or resting. The images in cat_1 show people sitting on benches, engaged in various activities like talking, reading, or simply sitting.\nRule: Cat_2 images show people lying down on benches, while cat_1 images show people sitting on benches.\nTest Image: The test image shows a person lying down on a bench.\nConclusion: cat_2']'
79 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 all depict a person lying down on a bench, often appearing to be sleeping or resting. The images in cat_1 depict people sitting on a bench, engaged in various activities or simply sitting upright.\nRule: The distinguishing rule is whether the person in the image is lying down on the bench (cat_2) or sitting on the bench (cat_1).\nTest Image: The test image shows a person sitting on a bench and reading a newspaper.\nConclusion: cat_1']'
80 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show people walking on the beach *with* a surfboard, typically carrying it. The images in cat_1 show people *riding* a surfboard on the waves.\nRule: Cat_2 images depict a person walking on the beach with a surfboard, while cat_1 images depict a person riding a surfboard in the water.\nTest Image: The test image shows a person walking on the beach with a surfboard.\nConclusion: cat_2']'
81 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 show people walking on the beach *with* a surfboard. The images in cat_1 show people *riding* a surfboard in the water.\nRule: Cat_2 images depict a person walking on the beach carrying a surfboard, while cat_1 images depict a person riding a surfboard in the water.\nTest Image: The test image shows a person riding a surfboard in the water.\nConclusion: cat_1']'
82 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people working or studying at a desk or table, often with a computer. The `cat_1` images all depict people in unusual or relaxed poses on chairs, often not engaged in work or study.\nRule: The images in `cat_2` show people actively working or studying at a desk or table.\nTest Image: The test image shows a young child sitting at a table and eating.\nConclusion: cat_2']'
83 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict people working or studying at a desk or table, often with a computer. The `cat_1` images all depict people in relaxed or unusual poses on chairs, often outdoors or in leisure settings.\nRule: The images in `cat_2` show people engaged in work or study activities at a desk/table, while `cat_1` images show people relaxing or posing on chairs.\nTest Image: The test image shows a person lying on a chair outdoors, making a hand gesture.\nConclusion: cat_1']'
84 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show a surfer actively riding a wave, in motion. The images in cat_1 show people walking with surfboards, or standing/posing with surfboards, not actively riding a wave.\nRule: Cat_2 images depict a person actively surfing on a wave, while cat_1 images depict a person with a surfboard but not actively surfing.\nTest Image: The test image shows a person actively surfing on a wave.\nConclusion: cat_2']'
85 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 depict people actively surfing on waves, in motion. The images in cat_1 depict people walking with surfboards, or standing near the water, but not actively riding a wave.\nRule: Cat_2 images show a person actively surfing on a wave, while cat_1 images show a person with a surfboard but not actively surfing.\nTest Image: The test image shows the interior of a surf shop with surfboards on display. There are no people actively surfing.\nConclusion: cat_1']'
86 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The images in cat_2 depict statues or sculptures of people sitting on benches. The images in cat_1 depict real people sitting on benches.\nRule: The images in cat_2 are statues, while the images in cat_1 are real people.\nTest Image: The test image depicts a real person sitting on a bench.\nConclusion: cat_1']'
87 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 depict statues or sculptures of people sitting on benches. The images in cat_1 depict real people sitting on benches.\nRule: The images are categorized based on whether the people depicted are statues/sculptures (cat_2) or real people (cat_1).\nTest Image: The test image shows two real people sitting on a bench.\nConclusion: cat_1']'
88 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 show people actively riding on a wakeboard or surfboard, being pulled by a boat or wave. The images in cat_1 show people with surfboards on the beach, or surfboards standing up.\nRule: Cat_2 images depict a person actively riding a wakeboard or surfboard, while cat_1 images show surfboards not in use or people standing with surfboards.\nTest Image: The test image shows a person actively riding a surfboard on a wave.\nConclusion: cat_2']'
89 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 depict people actively riding a wave on a surfboard, often being towed or actively maneuvering. The images in cat_1 show people with surfboards on the beach or near the water, but not actively riding a wave.\nRule: Cat_2 images show a person actively riding a wave on a surfboard. Cat_1 images show a person with a surfboard but not actively riding a wave.\nTest Image: The test image shows a person walking on the beach carrying a surfboard. They are not actively riding a wave.\nConclusion: cat_1']'
90 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The images in cat_2 depict people sitting upright on benches, appearing awake and alert. The images in cat_1 depict people lying down or slumped over on benches, appearing to be asleep or resting.\nRule: The distinguishing rule is whether the person is sitting upright and appears awake (cat_2) or lying down/slumped over and appears asleep/resting (cat_1).\nTest Image: The test image shows a child sitting upright on a bench, looking forward, and appearing awake.\nConclusion: cat_2']'
91 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The images in cat_2 show people sitting upright on benches, often engaged in activities like talking or using phones. The images in cat_1 show people lying down or significantly reclined on benches, often appearing to be sleeping or resting.\nRule: The distinguishing rule is whether the person is sitting upright or lying down/significantly reclined on the bench.\nTest Image: The test image shows a person lying down on a bench while using a phone.\nConclusion: cat_1']'
