experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1 | full: ['Analysis: The `cat_2` images all feature people walking dogs. The `cat_1` images do not have this common element.\nRule: Images showing people walking dogs.\nTest Image: The test image shows a dog sitting and looking at the camera. It does not depict a person walking a dog.\nConclusion: cat_1']'
40 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The cat_2 images all feature people holding or interacting with apples. The cat_1 images do not show any apples.\nRule: Images containing people holding or interacting with apples belong to cat_2.\nTest Image: The test image shows a child holding an apple.\nConclusion: cat_2']'
41 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The cat_2 images all feature a person holding an apple. The cat_1 images do not feature a person holding an apple.\nRule: Images containing a person holding an apple are cat_2, otherwise they are cat_1.\nTest Image: The test image shows a person holding an apple.\nConclusion: cat_2']'
42 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The first six images (cat_2) all depict people holding or eating apples. The remaining six images (cat_1) also depict people holding or eating apples.\nRule: Images showing people holding or eating apples.\nTest Image: The test image shows a person biting into an apple.\nConclusion: cat_2']'
43 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The first six images (cat_2) all depict people holding or eating apples. The remaining six images (cat_1) also depict people holding or eating apples.\nRule: Images showing people holding or eating apples.\nTest Image: A man is holding three apples.\nConclusion: cat_2']'
44 | expected:'cat_2' | got='cat_1 | full: ['Analysis: All the cat_2 images show people surfing or paddleboarding in the ocean or near the water. The cat_1 images show people doing other activities, such as walking with surfboards or standing on the beach.\nRule: Images depicting people surfing or paddleboarding in or near the ocean.\nTest Image: The test image shows people standing on the beach with surfboards, but not surfing or paddleboarding.\nConclusion: cat_1']'
45 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people surfing or carrying surfboards. The cat_1 images do not show any surfing or surfboard activity.\nRule: Images depicting people surfing or carrying surfboards.\nTest Image: The test image shows a person surfing.\nConclusion: cat_2']'
46 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The first six images (cat_2) all depict people holding surfboards on a beach, often with a focus on the surfboard itself and the surrounding beach environment. The remaining six images (cat_1) show people working on surfboards in a workshop or garage setting, or simply standing with surfboards.\nRule: Images showing people actively engaged with surfboards on a beach.\nTest Image: A man standing on a beach holding a surfboard.\nConclusion: cat_2']'
47 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The first six images (cat_2) all depict people actively engaged with surfboards – either riding them, carrying them, or working on them. The remaining six images (cat_1) show people in various unrelated activities, such as walking, standing, or working in a workshop.\nRule: Images showing people interacting with surfboards.\nTest Image: A person is surfing a wave.\nConclusion: cat_2']'
48 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show a person sitting or lying on a park bench.\nRule: People sitting or lying on a park bench.\nTest Image: A person is lying on a park bench under an umbrella.\nConclusion: cat_2']'
49 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people sitting or lying on park benches.\nRule: Images showing people sitting or lying on a bench.\nTest Image: The test image shows people sitting on benches.\nConclusion: cat_2']'
50 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all feature people wearing sunglasses. The `cat_1` images do not have any people wearing sunglasses.\nRule: Images containing people wearing sunglasses belong to the `cat_2` category.\nTest Image: The test image shows a woman wearing sunglasses.\nConclusion: cat_2']'
51 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The `cat_2` images all feature people wearing sunglasses. The `cat_1` images do not have this feature.\nRule: Images containing people wearing sunglasses belong to the `cat_2` category.\nTest Image: The test image shows two women wearing sunglasses.\nConclusion: cat_2']'
52 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images feature people holding scissors or knives. The scissors/knives are prominently displayed and often in the foreground.\nRule: Images containing scissors or knives are cat_2.\nTest Image: The test image shows a person holding scissors.\nConclusion: cat_2']'
53 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images feature people holding scissors or knives. The cat_1 images do not have this element.\nRule: Images containing scissors or knives.\nTest Image: The test image shows a person holding scissors.\nConclusion: cat_2']'
54 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people (men, women, children) actively eating apples. The focus is on the act of eating and the expression of enjoyment while eating.\nRule: Images depicting people eating apples.\nTest Image: The test image shows a woman eating an apple.\nConclusion: cat_2']'
55 | expected:'cat_1' | got='cat_1 | full: ['Analysis: All the cat_2 images show people (or children) eating apples. The cat_1 images show people holding apples, but not eating them.\nRule: People eating apples.\nTest Image: A boy is drinking water from an apple.\nConclusion: cat_1']'
56 | expected:'cat_2' | got='cat_2 | full: ['Analysis: The `cat_2` images all depict people sitting or lying on benches in public spaces, often with a relaxed or contemplative posture. They frequently have a cityscape or natural background visible.\nRule: People sitting or lying on benches in public spaces with a visible background.\nTest Image: A man is sitting on a bench reading a newspaper. The background is a street with shops and other people.\nConclusion: cat_2']'
57 | expected:'cat_1' | got='cat_1 | full: ['Analysis: The `cat_2` images all depict people sitting or lying on benches in outdoor settings, often with a relaxed posture and a focus on the background scenery. The people are generally young and appear to be enjoying a moment of leisure. The `cat_1` images show people sitting on benches, but they are often engaged in reading newspapers or other activities, and the overall composition is less focused on the surrounding environment.\n\nRule: People sitting on benches in outdoor settings, with a relaxed posture and a focus on the background scenery.\n\nTest Image: Four men are sitting on a bench reading newspapers. \n\nConclusion: cat_1']'
58 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show tennis players in action, holding a tennis racket and often on a tennis court. The cat_1 images show people engaged in various activities, but none are specifically related to tennis.\nRule: Images depicting tennis players in action.\nTest Image: A young boy holding a tennis racket on a tennis court.\nConclusion: cat_2']'
59 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show a person holding a tennis racket. All the cat_1 images show a person playing tennis.\nRule: The images show people playing tennis.\nTest Image: The test image shows a person holding a tennis racket.\nConclusion: cat_2']'
60 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people holding or interacting with apples. The cat_1 images do not show apples.\nRule: Images featuring people holding or interacting with apples.\nTest Image: The test image shows a person holding a yellow apple.\nConclusion: cat_2']'
61 | expected:'cat_1' | got='cat_2 | full: ['Analysis: The first six images (cat_2) all feature a person holding an apple. The remaining six images (cat_1) do not feature a person holding an apple.\nRule: People holding an apple.\nTest Image: A child is holding an apple.\nConclusion: cat_2']'
62 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show a person sitting or lying on a bench.\nRule: All images show a person sitting or lying on a bench.\nTest Image: A person is lying on a bench with a dog.\nConclusion: cat_2']'
63 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show a person sitting on a bench.\nRule: All images show a person sitting on a bench.\nTest Image: A person is sitting on a bench.\nConclusion: cat_2']'
64 | expected:'cat_2' | got='cat_2 | full: ['Analysis: All the cat_2 images show people carrying surfboards towards the ocean, often with a beach in the background. The focus is on the action of carrying the board and the setting of the beach. The cat_1 images do not show this action or setting.\nRule: People carrying surfboards towards the ocean.\nTest Image: Two people are carrying surfboards towards the ocean.\nConclusion: cat_2']'
65 | expected:'cat_1' | got='cat_2 | full: ['Analysis: All the cat_2 images show people carrying surfboards on the beach, often with waves in the background. The people are generally wearing wetsuits and appear to be involved in surfing or related activities. The cat_1 images do not share this common theme.\nRule: People carrying surfboards on the beach with waves.\nTest Image: A person is surfing on a wave.\nConclusion: cat_2']'
