experiment run details:
  dataset: hoi
  path: /gpfs/mariana/home/envomp/bongard/big_hake/
  prompt method: cot
  prompt structure: labeled

---------------------------------------
  test split name: test_seen_obj_seen_act
---------------------------------------

0 | expected:'cat_2' | got='cat_1' | full: ['1. Rule: The cat_2 images show dogs being walked on leashes by people, while the cat_1 images show dogs being held or petted by people.\n2. Analysis: The test image shows a dog wearing a bow tie, which is not a leash, and the dog is not being walked by a person. The dog appears to be sitting on a surface, possibly a couch or a chair, and is being held by a person.\n3. Conclusion: cat_1']
0 | expected:'cat_2' | got='cat_1' | full: [' Analysis: All cat_2 images show a person eating an apple, while cat_1 images show a person holding an apple, either whole or partially peeled. The test image shows a person holding an apple, which is not eating it.\n\nRule: The distinguishing rule is that cat_2 images show a person eating an apple, while cat_1 images show a person holding an apple.\n\nTest Image: A person is holding an apple, not eating it.\n\nConclusion: cat_1']
1 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show a person eating an apple, while cat_1 images show a person holding or peeling an apple. The test image shows a person holding an apple, which is a characteristic of cat_1 images.\n\nRule: The distinguishing rule is that cat_2 images show a person eating an apple, while cat_1 images show a person holding or peeling an apple.\n\nTest Image: A muscular man is holding a green apple in his hand.\n\nConclusion: cat_1']
2 | expected:'cat_2' | got='cat_1' | full: [' Analysis: All cat_2 images show a person eating an apple, while cat_1 images show a person holding an apple but not eating it. \nRule: The rule is that cat_2 images show a person eating an apple, while cat_1 images show a person holding an apple but not eating it. \nTest Image: Three children are holding apples, but none of them are eating the apples. \nConclusion: cat_1']
3 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show a person eating an apple, while cat_1 images show a person holding an apple but not eating it. The test image shows a person washing an apple in a sink, which does not fit the rule of eating an apple.\n\nRule: The distinguishing rule is that cat_2 images show a person eating an apple, while cat_1 images show a person holding an apple but not eating it.\n\nTest Image: A person is washing an apple in a sink.\n\nConclusion: cat_1']
4 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show people lying down on benches, while cat_1 images show people sitting upright on benches. \nRule: People lying down on benches \nTest Image: A person is lying down on a bench with a book in hand. \nConclusion: cat_2']
5 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show individuals lying down on a bench, while cat_1 images show individuals sitting upright on a bench. The test image shows two individuals sitting upright on a bench.\n\nRule: Individuals lying down on a bench\n\nTest Image: Two individuals sitting upright on a bench\n\nConclusion: cat_1']
6 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show a person sitting on a bench, while cat_1 images show a person lying on a bench. The test image shows a person sitting on a bench with a backpack next to them.\n\nRule: The rule is that cat_2 images show a person sitting on a bench, while cat_1 images show a person lying on a bench.\n\nTest Image: A person is sitting on a bench with a backpack next to them.\n\nConclusion: cat_2']
7 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show a person sitting on a bench, while cat_1 images show a person lying on a bench. The test image shows a person lying on a bench.\nRule: A person sitting on a bench vs a person lying on a bench\nTest Image: A person lying on a bench\nConclusion: cat_1']
8 | expected:'cat_2' | got='cat_1' | full: [' Analysis: All cat_2 images show a person eating an apple, while cat_1 images show a person holding an apple or a person with an apple in the background. The apple in the cat_2 images is being consumed, while in the cat_1 images, the apple is not being eaten. \nRule: The distinguishing rule is that cat_2 images show a person eating an apple, while cat_1 images show a person holding an apple or a person with an apple in the background. \nTest Image: A person is holding an apple in their hand, and the apple is not being eaten. \nConclusion: cat_1']
9 | expected:'cat_1' | got='cat_1' | full: [' Analysis: All cat_2 images show a person eating an apple, while cat_1 images show a person holding an apple or a fruit that is not an apple. \nRule: The rule is that cat_2 images show a person eating an apple, while cat_1 images show a person holding an apple or a fruit that is not an apple. \nTest Image: Two people are holding apples, one is an apple and the other is a tomato. \nConclusion: cat_1']
10 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show apples, while cat_1 images show apples and oranges. \nRule: The rule is that cat_2 images only show apples. \nTest Image: A girl is holding an apple in an apple orchard. \nConclusion: cat_2']
11 | expected:'cat_1' | got='cat_1' | full: [" Analysis: All cat_2 images show a single apple being held or presented by a person, while cat_1 images show multiple apples or a person interacting with apples in a different context.\nRule: A single apple being held or presented by a person.\nTest Image: A woman is holding a child on her shoulders, with the child holding an apple on the woman's head.\nConclusion: cat_1"]
12 | expected:'cat_2' | got='cat_2' | full: [' Analysis: All cat_2 images show surfers actively riding waves, with the exception of the last one which shows a person holding a surfboard. Cat_1 images show surfers either preparing to surf, waiting for waves, or not actively surfing. The test image shows a surfer actively riding a wave, which aligns with the cat_2 images.\n\nRule: Active surfing on waves\n\nTest Image: A surfer actively riding a wave\n\nConclusion: cat_2']
